"real","fit"
0.306949936331345,0.259461390089218
0.339898557407286,0.298331968669968
0.35869347404983,0.329968519851819
0.257496072672632,0.348014991081981
0.300187617260788,0.250847441618801
0.223741454319453,0.291838936597682
0.170098478066249,0.218436989336354
0.0769715205374013,0.166930167249025
-0.0251554748095871,0.0775116828917902
-0.0878364134635655,-0.020548442534913
-0.0122823495412181,-0.0807333200532337
0.0625854255089561,-0.00818794691706994
-0.00557452442338514,0.0636984665321316
-0.0194430942295675,-0.00174723875601772
-0.0972061722520564,-0.0150635386242614
-0.0638397957126538,-0.0897299591778416
0.010238208995973,-0.0576922882626079
0.0256047436156594,0.013435804837627
-0.00875361928489657,0.0281904180234996
0.0166212352902068,-0.00479973667592633
-0.00325923994524482,0.0195646482143255
-0.0052046060763776,0.000475847172962715
-0.0341102899374645,-0.00139205118409365
-0.0716410661162043,-0.029146661758235
-0.0437746232255644,-0.0651828988662062
-0.032276438200114,-0.0384261449269767
-0.0425771711226599,-0.0273858371029362
-0.0292044949527015,-0.0372763773948533
-0.0328884953513378,-0.0244362238383776
-0.0750741278152798,-0.0279735211017985
-0.0957913602373154,-0.0684792502340807
-0.12614608331795,-0.0883714873736988
-0.144728186113271,-0.117517433971526
-0.105953885979171,-0.135359565962289
-0.080183951417959,-0.0981293241289324
-0.0328041708160039,-0.0733855920067394
-0.00360338718395284,-0.0278925545122764
0.0042140750105352,0.000145404460158885
0.0916661673956025,0.0076515620701567
0.163351029694884,0.0916211640247707
0.202586970645561,0.160451413699503
0.189787082616689,0.198124913030272
0.0491301080862377,0.185834738221012
0.113395567264189,0.0507789626375446
0.111652345246566,0.112485262388978
0.0995024875621891,0.110811458424474
0.101159896191939,0.0991454286504796
0.0836934522181498,0.100736836461552
0.0187587931843051,0.0839659358685314
0.00617569862590711,0.021617084932844
-0.0559447134596399,0.00953507051089555
0.0506172201849078,-0.0501116015562746
0.088705206390807,0.0522068554138248
0.0945199111616137,0.0887781135019651
0.120223720662799,0.094361266880827
0.0759324816582012,0.119041507154875
0.0829052438838309,0.0765140203005096
0.123628419641527,0.08320911532502
0.112259532169527,0.122310625253963
0.179349731977356,0.111394466135811
0.293910308551597,0.17581302056117
0.253017763955511,0.285811600952743
0.18821302770622,0.246547466739404
0.225457961484265,0.184323364842947
0.263199619470429,0.220085142278732
0.210652867074382,0.2563238635234
0.291488534784298,0.205869611802635
0.258419386643143,0.283486266318452
0.230028441694526,0.251733987663252
0.0653906734762064,0.224473618226308
0.0414463341432043,0.0663920047742676
0.0440879883682755,0.0434011695864098
0.0454311273476652,0.045937628666248
0.0510365385483943,0.047227281576695
0.045373238514899,0.0526094758099062
0.0242749457007794,0.0471716979752919
-0.0193487299822979,0.0269135749137787
-0.0118854245077452,-0.0149729321211365
-0.0534092238119371,-0.00780682811067497
-0.154688666832616,-0.0476770794005302
-0.165444371068089,-0.14492340347
-0.0619445192566657,-0.155250797346609
-0.0663536533312638,-0.0558724849249985
-0.0602208096353294,-0.0601060398132947
-0.0613746566749177,-0.054217416340114
-0.0813062987078709,-0.0553253152363933
-0.0363687722891141,-0.0744632455267235
-0.0662524458480656,-0.0313152075176035
-0.0398611731555617,-0.0600088625834856
0.00714005212238047,-0.0346685350667065
-0.0809528904104704,0.0104610218178792
-0.0915223212772448,-0.0741239105462691
-0.136915692149093,-0.0842724487752001
-0.154915716961366,-0.127858178739257
-0.17347394455704,-0.145141412078083
-0.21615355766936,-0.162960619620086
-0.180796481798192,-0.203940658254706
-0.181635879834947,-0.16999156102661
-0.181595673285697,-0.170797532811909
-0.273702140838527,-0.170758927355546
-0.266629468733809,-0.259197559375943
-0.222745303168999,-0.25240653305294
-0.123367548551877,-0.210269909284557
-0.218656948580063,-0.114849545165654
-0.124318215321114,-0.206344359899521
0.0190000542858693,-0.115762354774061
0.120496373119118,0.0218487386087363
0.164780623386937,0.119303302128611
0.18595724968566,0.161824078549533
0.390482446536749,0.182157415723624
0.297058608860667,0.378538072845644
0.23428946792205,0.288834530611443
0.0614521408055574,0.22856496317284
0.00671919858286012,0.0626103111449896
0.0937437670367663,0.0100569273790737
0.0925275987492823,0.0936160301295337
0.00816755148474421,0.0924482917229991
0.0101117914723892,0.0114476044154276
-0.0132443021908284,0.0133144214739371
-0.0119299387234967,-0.0091115929829788
-0.0140325346915441,-0.0078495696949645
0.00156731623217184,-0.00986843673053998
0.0911661185159542,0.00511020170898366
0.169928225262254,0.0911410279384089
0.14384316454962,0.16676669420003
0.179093785445645,0.141720384783473
0.257179597085298,0.175567266253831
0.236178564300446,0.250543568625348
0.119895319822287,0.230378832534014
0.00786401306636033,0.118726183792023
-0.00882301041115241,0.0111561534109462
-0.00612438060241631,-0.00486636453001162
-0.0293161345344065,-0.00227519873074573
-0.0639284001917852,-0.0245434177428628
-0.0236165530567333,-0.0577773643613169
-0.0497410389210809,-0.0190708032526252
-0.103239762056929,-0.044154967844584
-0.112580502433509,-0.0955232812180027
-0.0179240671337788,-0.104492057493008
0.00534444978889412,-0.0136050017601003
0.0620732464307884,0.00873692341040222
0.144193985050909,0.0632066832922994
0.292378662854915,0.14205723501824
0.488853845602466,0.284340947981748
0.6262999768893,0.472992156195594
0.558847194791895,0.604964949751392
0.446821474510866,0.54019825167731
0.463877794127952,0.432633585308239
0.507046243183911,0.44901069339104
0.589564038852496,0.490460101694116
0.521857727370612,0.569691898984382
0.498614958448754,0.504681767495296
0.465146836607319,0.482364564996608
0.548196454045242,0.450229200449588
0.547380812242496,0.529971641465626
0.53299326401151,0.529188479900863
0.518605715780525,0.51537386820765
0.508142044339808,0.501559256514437
0.534955202406645,0.491512266192101
0.520567654175659,0.517257678893088
0.533647243476555,0.503443067199875
0.621934471257603,0.516001805102796
0.605584984631483,0.60077328594751
0.62978222483814,0.58507486356886
0.694359184230271,0.608308528689263
0.589843483015515,0.670313924188781
0.653475107386804,0.569960215207554
0.662191455142997,0.63105792052781
0.593226045384149,0.639427168554064
0.585859880776873,0.573208078213852
0.496638604566653,0.566135246756812
0.456874208908444,0.480466912873309
0.458006114741322,0.442286002796471
0.352889523077767,0.443372834222052
0.237701218594855,0.342442163267384
0.199891950297137,0.231840852155603
0.101191366332685,0.195537212956495
0.100820891410942,0.100767053407995
-0.00977315981688191,0.100411331425084
-0.0576042538525921,-0.00577867737720135
-0.0601660782656258,-0.0517050562401284
-0.0817661488143908,-0.0541648644662468
0.0116097117762859,-0.0749047836231848
0.00664927625185407,0.0147526920544066
-0.0511482788604163,0.009989789473711
-0.0771873910661818,-0.0455061691061882
-0.0747259230126346,-0.0705083597632411
-0.106013610480996,-0.0681449115364076
-0.0759756500401115,-0.0981866702999442
-0.0886566189165227,-0.0693448723170725
-0.0791569309999523,-0.0815208635359278
-0.0887699027758208,-0.0723994692811726
-0.150236401396315,-0.0816296362400874
-0.106264728113467,-0.140648434783872
-0.131260354275519,-0.0984277880029894
-0.141653744604166,-0.122428045997871
-0.13251440831265,-0.13240755392105
-0.0822972434848017,-0.123632161479337
-0.120522976023168,-0.0754147292043409
-0.137232751767708,-0.112118248332698
-0.182634601269375,-0.128162612506876
-0.172821460814239,-0.171756483467352
-0.180611108820255,-0.16233411888499
-0.188227658107176,-0.169813569914608
-0.090049728954796,-0.177126815309291
-0.107039934129271,-0.082858497573061
-0.120389919590315,-0.0991721240023301
-0.113346176246584,-0.11199049043235
-0.149112629452967,-0.105227240878077
-0.18363173490255,-0.139569413342565
-0.170886865411002,-0.172713909550477
-0.156164728600814,-0.160476562347203
-0.196463654223969,-0.146340685958682
-0.164326016226679,-0.185034840111964
-0.14850027344243,-0.154176977289066
-0.140352338511516,-0.138981442385473
-0.143144251671383,-0.131157972023113
-0.129670421013258,-0.13383870647248
-0.153870495629129,-0.120901426570875
-0.23192803728189,-0.144137813229516
-0.237964085050127,-0.219086971372898
-0.235608808764794,-0.224882653496159
-0.221683026359325,-0.22262116830148
-0.239790988153609,-0.20924993413655
-0.254865123533374,-0.226636806223959
-0.166854215979201,-0.24111066400286
-0.202977500839521,-0.156604499845602
-0.194841551267217,-0.191289294323225
-0.180308778783667,-0.183477332042196
-0.110136735796517,-0.169523279172113
-0.0809012222173894,-0.102145605782343
-0.0822291338247199,-0.0740742998681435
-0.0367560435417745,-0.0753493317862763
-0.0231537311272973,-0.0316870569730879
0.0836842385800329,-0.0186264116762695
0.0728221292321069,0.0839570891330887
0.128988839661264,0.0735275273758154
0.118740036281678,0.127457584269934
0.157556452989022,0.117616905598626
0.136355984512654,0.154887586851951
0.0921634436098237,0.134531356936107
0.101118185222834,0.0920986378579386
0.168740412476564,0.10069678649388
0.13280508900173,0.165626182131185
0.074536769723374,0.13112186409834
0.179505936638343,0.0751738879787499
0.244811069717935,0.175963004888004
0.33163425838525,0.23866757696549
0.308840482980402,0.322033319213523
0.29785423378518,0.300147230549568
0.230126744933123,0.289598472403966
0.221630692668248,0.224568006863454
0.184083198932206,0.216410281788954
0.180079413903026,0.180357992845126
0.170133362603589,0.176513645316747
0.137578409150809,0.166963662625007
0.113713421313442,0.135705102554834
0.13537094812543,0.112790458951663
0.112212259451523,0.133585546366112
0.0948227777496071,0.111349075897502
0.0977165713128449,0.0946520728083419
0.0745214553601869,0.0974306306108696
0.198589957483451,0.0751591834594418
0.252160208684311,0.194287067701747
0.357121421283236,0.245724060771486
0.268233339267699,0.346505540119032
0.210072264859112,0.261157132073072
0.171874142002087,0.205312130150903
0.233339024529054,0.168635121239616
0.211093397834094,0.227652368045455
0.20236360692893,0.206292599881398
0.220930870018091,0.197910444035133
0.242091850866988,0.215738327261969
0.188042696753498,0.236056642014544
0.157354739248312,0.184159816757241
0.158333776101164,0.154693905694025
0.142996759425955,0.155633955641267
